id          voter_id    politician_id  created_at                 updated_at               
----------  ----------  -------------  -------------------------  -------------------------
33          1781        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
189         2985        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
208         200         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
392         134         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
409         3051        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
567         4898        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
624         460         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
690         1852        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
743         4568        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
815         2683        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
893         2189        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1033        3744        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1434        1852        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1706        4898        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1752        2718        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1798        399         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1809        4586        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1979        3097        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2069        1637        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2105        780         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2113        3154        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2124        134         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2357        3962        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2359        3995        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2364        780         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2383        295         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2460        2881        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2528        4586        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2547        1590        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2563        4153        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2651        2393        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2667        2573        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2745        439         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2837        4514        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2918        277         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2920        780         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2942        3107        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3007        1852        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3214        1147        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3263        2481        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3337        2718        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3345        4005        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3460        4819        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3495        2683        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3540        3995        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3664        1978        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3717        2796        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3771        4827        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3823        1301        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3972        3151        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3981        2768        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4040        2718        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4182        4476        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4254        4827        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4266        1328        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4378        917         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4420        190         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4600        1126        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4615        1310        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4672        3038        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4735        2393        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4753        3051        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4786        1082        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4807        2556        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4844        2481        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4861        364         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4905        2768        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4992        2985        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5016        2573        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5021        2881        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5028        2985        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5036        4005        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5094        460         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5178        917         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5222        409         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5299        3995        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5318        4568        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
