id          voter_id    politician_id  created_at                 updated_at               
----------  ----------  -------------  -------------------------  -------------------------
33          1781        492            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
189         2985        445            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
208         200         36             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
392         134         452            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
409         3051        219            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
567         4898        427            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
624         460         73             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
690         1852        432            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
743         4568        270            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
815         2683        400            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
893         2189        345            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1033        3744        324            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1434        1852        107            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1706        4898        48             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1752        2718        140            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1798        399         405            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1809        4586        484            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1979        3097        288            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2069        1637        14             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2105        780         443            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2113        3154        291            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2124        134         474            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2357        3962        298            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2359        3995        64             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2364        780         467            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2383        295         344            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2460        2881        58             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2528        4586        100            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2547        1590        411            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2563        4153        495            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2651        2393        11             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2667        2573        247            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2745        439         379            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2837        4514        208            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2918        277         441            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2920        780         87             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2942        3107        24             2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3007        1852        487            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3214        1147        276            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
